Experimento,Filtro,Corrida,Archivo,Cache,Alto,Ancho,Ciclos
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,224476
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,225218
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,224490
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,216894
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,216452
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,216492
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,216342
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,217040
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,217038
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,217076
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,446472
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,436704
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,427936
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,395912
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,387356
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,379282
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,359054
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,429632
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,532202
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.512x300.bmp,cached,300,512,248570
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,814732
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,967254
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,791564
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,821544
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,766386
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,804752
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,764304
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,776368
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,875584
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,799000
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1317388
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1919742
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1396004
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1227510
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1108302
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1184276
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1102946
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1107422
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1107804
ASM_cachedImg,Bordes ASM doble ciclo,Mon Nov  4 20:06:09 2019,BigFish.1024x600.bmp,cached,600,1024,1459876
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,1312
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,914
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,794
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,750
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,738
ASM_cachedImg,Bordes ASM,Mon Nov  4 20:06:09 2019,BigFish.32x18.bmp,cached,18,32,736
